ingredient_name,category,risk_mechanism,affected_characteristic,alternative_ingredients
"Retinoids","Photosensitizing","Increases sun sensitivity and potential for UV damage","UV Sensitivity","Bakuchiol, Peptides"
"Benzoyl Peroxide","Oxidative Stress","Can increase free radical damage in certain skin types","Antioxidant Capacity","Salicylic Acid, Tea Tree Oil"
"Hydroquinone","Irritation","May cause irritation in sensitive skin types","Inflammatory Response","Alpha Arbutin, Vitamin C"
"Alpha Hydroxy Acids","Barrier Disruption","Can temporarily weaken barrier function","Barrier Function","Polyhydroxy Acids, Mild Enzymatic Exfoliants"
"Essential Oils","Sensitizing","Common allergens for sensitive skin types","Product Sensitivity","Synthetic Fragrance-Free Alternatives"
"Alcohol (Denatured)","Drying","Strips natural lipids from skin surface","Hydration Level","Glycerin, Butylene Glycol"
"Sodium Lauryl Sulfate","Disrupts Barrier","Aggressive cleansing agent that damages lipid barrier","Barrier Function","Cocamidopropyl Betaine, Sodium Cocoyl Isethionate"
"Chemical Sunscreens","Hormone Disruption","Potential endocrine activity in hormone-sensitive individuals","Hormonal Balance","Physical/Mineral Sunscreens"
"Synthetic Fragrance","Sensitizing","Common allergen, especially for reactive skin","Product Sensitivity","Fragrance-Free Formulations"
"Phthalates","Hormone Disruption","May interfere with hormone signaling","Hormonal Balance","Phthalate-Free Products"
"Formaldehyde Releasers","Sensitizing","Can cause contact dermatitis in predisposed individuals","Inflammatory Response","Phenoxyethanol, Sodium Benzoate"
"Propylene Glycol","Irritation","May cause irritation in sensitive individuals","Product Sensitivity","Glycerin, Butylene Glycol"
"Cocamidopropyl Betaine","Sensitizing","Can trigger allergic responses in susceptible individuals","Product Sensitivity","Sodium Cocoyl Isethionate"
"Vitamin C (High Concentration)","Irritation","May cause stinging/redness in sensitive skin","Inflammatory Response","Magnesium Ascorbyl Phosphate, Sodium Ascorbyl Phosphate"
"Topical Antibiotics","Microbiome Disruption","Disrupts natural skin flora balance","Immune Activity","Prebiotics, Postbiotics"
