name,name,relationship_type
"Inflammatory Response","Acne Vulgaris","Primary Factor"
"Inflammatory Response","Rosacea","Primary Factor"
"Inflammatory Response","Atopic Dermatitis","Primary Factor"
"Inflammatory Response","Psoriasis","Primary Factor"
"Inflammatory Response","Contact Dermatitis","Primary Factor"
"Inflammatory Response","Perioral Dermatitis","Primary Factor"
"Melanin Production","Hyperpigmentation","Primary Factor"
"Melanin Production","Melasma","Primary Factor"
"Barrier Function","Atopic Dermatitis","Primary Factor"
"Barrier Function","Contact Dermatitis","Primary Factor"
"Barrier Function","Seborrheic Dermatitis","Primary Factor"
"Barrier Function","Sensitive Skin","Primary Factor"
"Barrier Function","Dehydrated Skin","Primary Factor"
"Hydration Level","Dehydrated Skin","Primary Factor"
"Hydration Level","Atopic Dermatitis","Contributing Factor"
"Hydration Level","Sensitive Skin","Contributing Factor"
"Immune Activity","Psoriasis","Primary Factor"
"Immune Activity","Atopic Dermatitis","Primary Factor"
"Immune Activity","Contact Dermatitis","Primary Factor"
"DNA Repair Capacity","Photoaging","Primary Factor"
"Collagen Production","Photoaging","Primary Factor"
"Antioxidant Capacity","Photoaging","Primary Factor"
"Sebum Production","Acne Vulgaris","Primary Factor"
"Sebum Production","Seborrheic Dermatitis","Primary Factor"
"Vascular Reactivity","Rosacea","Primary Factor"
"Microcirculation","Rosacea","Contributing Factor"
"Product Sensitivity","Contact Dermatitis","Primary Factor"
"Product Sensitivity","Sensitive Skin","Primary Factor"
"UV Sensitivity","Photoaging","Primary Factor"
"UV Sensitivity","Hyperpigmentation","Contributing Factor"
"UV Sensitivity","Melasma","Contributing Factor"
"Elastin Quality","Photoaging","Primary Factor"
"Circadian Rhythm Response","Sensitive Skin","Contributing Factor"
