characteristic_id,condition_id,relationship_type
48,40,Primary
49,40,Primary
48,41,Primary
49,41,Primary
46,42,Primary
46,43,Primary
47,43,Primary
54,43,Primary
50,44,Primary
50,45,Primary
56,45,Primary
50,46,Primary
51,46,Primary
47,47,Primary
52,47,Primary
54,47,Primary
52,48,Primary
53,48,Primary
48,49,Primary
50,49,Primary
51,49,Primary
59,49,Primary
59,50,Primary
56,51,Primary
57,51,Primary
56,52,Primary
57,52,Primary
50,42,Secondary
54,42,Secondary
48,44,Secondary
48,45,Secondary
50,48,Secondary
54,48,Secondary
