snp_id,characteristic_id,effect_direction,evidence_strength
101,46,Modulates,Strong
101,47,Modulates,Strong
102,46,Modulates,Strong
102,47,Modulates,Strong
103,46,Modulates,Strong
104,46,Modulates,Strong
106,51,Modulates,Strong
107,51,Modulates,Strong
108,51,Modulates,Strong
109,55,Modulates,Moderate
110,52,Modulates,Moderate
110,53,Modulates,Moderate
111,52,Modulates,Moderate
111,53,Modulates,Moderate
112,54,Modulates,Moderate
113,54,Modulates,Moderate
114,58,Modulates,Weak
115,49,Modulates,Weak
115,52,Modulates,Weak
116,59,Modulates,Weak
117,59,Modulates,Weak
119,56,Modulates,Weak
119,57,Modulates,Weak
120,60,Modulates,Weak
105,48,Decreases,Strong
105,49,Decreases,Strong
106,50,Increases,Strong
107,50,Increases,Strong
108,50,Increases,Strong
