name,description,severity_scale
"Eczema","Chronic inflammatory skin condition causing dry, itchy, and inflamed skin patches","EASI (Eczema Area and Severity Index)"
"Dry Skin","Reduced skin moisture and barrier dysfunction leading to rough, flaky skin","Clinician-rated 0-4 scale"
"Hyperpigmentation","Excess melanin production causing dark patches or spots","MASI (Melasma Area and Severity Index)"
"Photosensitivity","Increased sensitivity to UV radiation leading to sunburns and damage","Fitzpatrick Scale"
"Acne","Inflammatory condition affecting sebaceous glands and hair follicles","IGA (Investigator's Global Assessment) Scale"
"Rosacea","Chronic inflammatory condition causing facial redness and bumps","IGA-RSS (Rosacea Severity Score)"
"Psoriasis","Autoimmune condition causing rapid skin cell turnover and inflammation","PASI (Psoriasis Area Severity Index)"
"Photoaging","Premature aging due to UV exposure and environmental damage","Glogau Photoaging Scale"
"Loss of Elasticity","Reduced skin firmness and elasticity due to collagen/elastin changes","Cutometer measurements"
"Contact Dermatitis","Skin inflammation caused by contact with irritants or allergens","CDSI (Contact Dermatitis Severity Index)"
"Product Sensitivity","Increased reactivity to skincare ingredients and products","RSSS (Reactive Skin Severity Score)"
"Telangiectasia","Visible dilated blood vessels near skin surface","Modified IGA for telangiectasia"
"Facial Flushing","Temporary redness due to vasodilation","Clinician-rated 0-3 scale"
