snp_id,ingredient_id,benefit_mechanism,recommendation_strength,evidence_level,narrative
102,77,Supports melanin regulation and UV protection,First-line,Strong,Vitamin C can help brighten and reduce uneven pigmentation linked to MC1R/TYR variants.
101,77,Supports melanin regulation and UV protection,First-line,Strong,Vitamin C can help brighten and reduce uneven pigmentation linked to MC1R/TYR variants.
103,77,Supports melanin regulation and UV protection,First-line,Strong,Vitamin C can help brighten and reduce uneven pigmentation linked to MC1R/TYR variants.
102,75,Supports melanin regulation and UV protection,First-line,Strong,"Niacinamide reduces the appearance of hyperpigmentation, which MC1R/TYR variants may experience."
103,75,Supports melanin regulation and UV protection,First-line,Strong,"Niacinamide reduces the appearance of hyperpigmentation, which MC1R/TYR variants may experience."
101,75,Supports melanin regulation and UV protection,First-line,Strong,"Niacinamide reduces the appearance of hyperpigmentation, which MC1R/TYR variants may experience."
101,87,Supports melanin regulation and UV protection,First-line,Strong,"Arbutin inhibits tyrosinase to address MC1R/TYR-driven excess pigment, evening skin tone."
103,87,Supports melanin regulation and UV protection,First-line,Strong,"Arbutin inhibits tyrosinase to address MC1R/TYR-driven excess pigment, evening skin tone."
102,87,Supports melanin regulation and UV protection,First-line,Strong,"Arbutin inhibits tyrosinase to address MC1R/TYR-driven excess pigment, evening skin tone."
101,88,Supports melanin regulation and UV protection,First-line,Strong,Tranexamic Acid helps lighten dark spots and reduces overactive melanin from MC1R/TYR SNPs.
103,88,Supports melanin regulation and UV protection,First-line,Strong,Tranexamic Acid helps lighten dark spots and reduces overactive melanin from MC1R/TYR SNPs.
102,88,Supports melanin regulation and UV protection,First-line,Strong,Tranexamic Acid helps lighten dark spots and reduces overactive melanin from MC1R/TYR SNPs.
103,90,Supports melanin regulation and UV protection,First-line,Strong,Zinc Oxide provides UV defense crucial for MC1R/TYR variants prone to sun-induced hyperpigmentation.
102,90,Supports melanin regulation and UV protection,First-line,Strong,Zinc Oxide provides UV defense crucial for MC1R/TYR variants prone to sun-induced hyperpigmentation.
101,90,Supports melanin regulation and UV protection,First-line,Strong,Zinc Oxide provides UV defense crucial for MC1R/TYR variants prone to sun-induced hyperpigmentation.
105,73,Strengthens barrier function and hydration,First-line,Strong,"Ceramides restore lipids missing in FLG-deficient skin, improving dryness and barrier strength."
105,74,Strengthens barrier function and hydration,First-line,Strong,Hyaluronic Acid boosts moisture retention for FLG-compromised barrier function.
105,76,Strengthens barrier function and hydration,First-line,Strong,"Squalane mimics natural skin oils, helping FLG variants retain hydration and elasticity."
105,91,Strengthens barrier function and hydration,First-line,Strong,Colloidal Oatmeal reduces dryness and irritation for FLG variants with weakened barriers.
105,95,Strengthens barrier function and hydration,First-line,Strong,"Polyglutamic Acid locks water into FLG-impaired skin, supporting a healthier moisture balance."
106,75,Reduces inflammation and soothes skin,First-line,Strong,Niacinamide helps calm cytokine-related redness and irritation in IL6/TNF-α variants.
108,75,Reduces inflammation and soothes skin,First-line,Strong,Niacinamide helps calm cytokine-related redness and irritation in IL6/TNF-α variants.
107,75,Reduces inflammation and soothes skin,First-line,Strong,Niacinamide helps calm cytokine-related redness and irritation in IL6/TNF-α variants.
106,89,Reduces inflammation and soothes skin,First-line,Strong,"Centella Asiatica soothes inflamed skin, beneficial for IL6/TNF-α-driven overreaction."
108,89,Reduces inflammation and soothes skin,First-line,Strong,"Centella Asiatica soothes inflamed skin, beneficial for IL6/TNF-α-driven overreaction."
